Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern,Error Category,Possible Reason
"Why wasn't this voted for Best Picture of 1998? This has to be the best movie ever. It makes something like Citzen Kane look like utter crap, come on, Citzen Kane wasn't even in color! I love this movie, it has to be the best movie I've ever put money down on. I am still shocked that it wasn't nominated for ANYTHING!<br /><br /> If 10 is the highest you can give it, I give it 20!",0,1,1,1,All models wrong,,
"Caroline Bender (Hope Lange) is just killing time getting a job. Her real ambition is to marry Eddie and have a baby. <br /><br />April (Diane Baker) is too innocent to stay that way for long and falls in love too easily, a dangerous combo. <br /><br />Greg (Suzy Parker) is a go-getter and wants to be an actress. <br /><br />All three are doomed for dramatics in 'The Best of Everything', a 1959 soap opera/morality play/sometimes solid movie that is aging by the second.<br /><br />Set in the cut-throat world of paperback publishing, its not as trashy as ""Valley of the Dolls"" but not as vanilla as ""Three Coins in the Fountain.""<br /><br />The men in the mix - Brian Aherne, Stephen Boyd, Louis Jourdan and Robert Evans - are slick, well-dressed and no good, for the most part. Aherne is the resident sexual offender - will pinch anything walking by, and makes unwanted advances right and left. His character is offensive as hell, but its not played seriously at all. Harassment hadn't been discovered yet, I guess. Boyd works there, too, although you never see him actually doing anything. He's too busy being older, wiser and drunker. Evans is abroad just so Diane Baker can suffer in style - he's a rich kid who's gotten her in 'trouble' so instead of marrying her, as promised, he's taking her to get an 'operation.' <br /><br />Jourdan is a director who mistakenly has an affair with Parker. They share a fight scene which is fairly no-holds barred, in a movie like this anyway, but the scene is ultimately ruined by Parker's histronics. She ends up nearly stalking him, and she really didn't deserve such a lousy fate, her bad acting notwithstanding.<br /><br />Joan Crawford breathes fire as Amanda Farrow, the resident 'witch' who is automatically rude and dismissive of any of her legion of secretaries. Well they are younger, aren't they? Isn't that sufficient reason to hate a person? Caroline doesn't think so, as she admirably stands up to Miss Farrow every chance she gets. Crawford only gets to let loose once, when she tells her married boyfriend 'you can your rabbit-faced wife can both go to hell' and slams down the phone. You never get to see the poor soul who dare crosses her. <br /><br />Martha Hyer's 'storyline', as it were, is extremely weak, and she is painfully over-the-top as an unmarried mother. Short of wearing a huge ""W"" (for 'whore') on her cardigan, she walks around like a pathetic mess for most of her screen time. Even worse, she is not given the courtesy of having it all 'tied up', one way or the other, at the end. It won't matter that much, but still..<br /><br />Its painfully obvious this all took place in a totally different world. People were nicer to one another for the most part and work was not a drag but something exciting, for a girl from outside NYC anyway.<br /><br />One unconvincing drunk scene aside, Hope Lange helps it seem reasonably real as Caroline, who at least has more than one side to her character. <br /><br />I admire that women are seen having an opinion, a chance and a choice. Not that its not wrapped in a nice bow, but it makes some points for equality. In 1959 that was probably noteworthy and possibly controversial. 7/10.",1,0,0,0,All models wrong,,
"This show can most accurately be described as TV Bubble-Gum: It's chewing, it has a good taste to it, and it lasts a long time. But, like Bubble-Gum, it can leave a bad taste in your mouth after a few too many chews.<br /><br />This show features very simple questions that take the form of simply games, like Hangman, guessing a simple phrase or guessing items on a short list. Callers are the contestants, and anybody can play.<br /><br />The questions, though, are terribly easy. There's some techno music pumped into the background that's fashioned into a continuous loop. It never seems to get old, but it never adds much to the show anyway. The hostess, however, regardless of which one that it, is extremely personable, pleasant enough to watch and can make some very amusing facial expressions. I rather enjoy that British woman.<br /><br />But there's nothing to this show. It's simplistic and uncompelling, although it can be entertaining if absolutely nothing else is on.",0,0,1,0,"Logistic Regression wrong, others correct",,
"Yet another ""gay"" film ruined by asinine politics. Luigi's final speech just about sent me running out of the theatre with its bumper-sticker epigrams. Read the comic book it was based on for a much more entertaining experience.",0,0,1,0,"Logistic Regression wrong, others correct",,
"Rugged David Innes (solid Doug McClure) and doddery Dr. Abner Perry (a delightfully dotty Peter Cushing) drill their way into the earth's core in their spiffy mole machine. The duo discover an ancient prehistoric world populated by dangerous gigantic beasts and human beings who are used as both food and slaves by evil telepathic pterodactyl men. Director Kevin Conner, working from a blithely silly script by Milton Subotsky, maintains a constant brisk pace throughout and treats the exceptionally foolish premise with astonishing seriousness, thereby giving this picture a certain clunkily earnest quality that's amusing and endearing in equal measure. The lovably hokey (not so) special effects are quite (unintentionally) funny. The cheesy array of cut-price creatures in particular are positively sidesplitting: cruddy guys-in-obvious-shoddy-rubber-suits pterodactyl men, equally rinky-dink savage ape-man brutes, and a hilariously ludicrous fire-belching frog thing who blows up real good. One gut-busting highlight occurs when McClure mixes it up with a fat and clumsy giant reptile. Another priceless scene depicts a dinosaur clutching a doll in its slavering jaws. Moreover, we also get some rousing rough'n'ready fisticuffs and an exciting climactic slave revolt. It's a total treat to see Cushing gleefully ham it up in a rare broad comedic part and become an unlikely, but enthusiastic arrow-slinging action hero in the last third of the flick. The ever-luscious Caroline Munro looks positively yummy as the fetching Princess Dia, plus there are nice supporting turns by Cy Grant as gallant warrior Ra and Sean Lynch as treacherous coward Hoojah. Mike Vickers' neatly varied score alternates between jaunty orchestral music and wonky droning synthesizer stuff. Alan Hume's crisp cinematography adds a glossy sheen to the infectiously inane proceedings. A complete campy riot.",1,1,0,1,"Logistic Regression wrong, others correct",,
"Written, produced and directed by Charlie Chaplin, this is the great actor's anti-Nazi propaganda piece, skewering Adolf Hitler.<br /><br />Chaplin plays Adenoid Hynckel, the dictator of Tomania, as well as a Jewish barber who is Hynckel's spitting image. His parody of Hitler is brilliant. Anyone who has ever seen newsreels of Hitler speaking will recognize the eerie resemblance of the caricature. <br /><br />I thought the movie got off to a slow start with some typical Chaplin slap-stick focussing on the First World War adventures of the Jewish barber. Having never seen it before I must confess that after the first 20 minutes or so I was wondering what all the fuss was about. But the movie picks up steam quickly. There are some very funny moments, and enough emphasis on the anti-Jewish nature of ""Hynckel-ism"" to make the propaganda point. The climax of the film is a brilliant anti-Nazi speech given by Chaplin at the end of the movie.<br /><br />As good as Chaplin is in this movie, though, I thought the whole thing was stolen by Jack Oakie, playing the dictator of ""Bacteria"" - ""Benzino Napaloni."" Our first look at Oakie shows how well he had studied his subject - he had Mussolini's arrogant posturing down pat. The scenes in which Hynckel and Napaloni negotiate over the fate of ""Osterlich"" had me in stitches.<br /><br />This was a very good movie, and well worth watching.",1,1,0,1,"Logistic Regression wrong, others correct",,
"When I heard Disney had the rights to ""Underdog"",I figured at the very least it would be a cool Pixar partnership affair,and we'd get a great Adults & Kids film like ""The Incredibles"". Alas...I forgot how Disney must dumb down classic material for today's dumbed down youth. What were they thinking? ""Underdog"" was a product of the 60's,your Prime Fanbase is in their 40's and 50's,why would you refocus it to 5 year olds? It should have been done ala ""Roger Rabbit"",half animated half real. Instead we get characters like Riff Raff ( a WOLF!! ) dumbed into another dog.""Underdog"" can't have an ""energy pill"",as we're now so ""enlightened"" it would obviously be a steroid or drugs reference.The only good casting was Patrick Warburton as ""Cad"" because he actually sorta resembles the cartoon version. Otherwise,old school ""Underdog"" fans should avoid this like the plague it is. What next? A live action version of ""The Go-Go Gophers"" disguised as a re-visionist history lesson? ( My advanced apologies if Disney jumps on this! )",0,0,1,0,"Logistic Regression wrong, others correct",,
"Robin Williams is excellent in this movie and it is a pity the material is not enough of a match for him. This may work if you buy into the ""U-S-A! Number One!"" mentality but story wise nothing much happens. Quite a shame really since the movie is really trying to say something, and says it sincerely. It just doesn't pack enough emotional punch.",0,0,1,0,"Logistic Regression wrong, others correct",,
"HBO created this show for purposes of making us see the most realistic view of prison possible and they did a hell of a job. Oz was created by the creators of Homicide who wanted to show a raw version of prison. This show is what launched the idea of every other HBO Original Program such as The Sopranos, Sex and the City, The Wire, Arliss, Deadwood, and Six Feet Under amongst others. Oz is the nickname for the Oswald State Penetentiary, a fictional prison in some US state which is never stated (Though with the accents, crime scenes, and racial distribution NY is assumed). The main prison unit looked at on the show is Emerald City, a seemingly ideal prison unit with more privlages than others thought out by a liberal unit manager named Tim McManus. Overall this show shows us what it is really like if one wishes to survive in prison.<br /><br />There are about 10 gangs shown on Oz. First we have the Muslims, a group of blacks who wish to destroy the injustices of the criminal justice system and help improve living conditions for blacks everywhere. They are led by Kareem Said a black militant minister who wishes to destroy everything racist about the judicial system. As a group they are not so much anti-white but rather anti-injustice. Our second group of blacks is the Homeboys who are essentially the street blacks who wish to keep all the bad ghetto behaviors up and run the drug trade. Their leadership varies mainly because they are always losing members due to violence. In this group, one character who is acted terrifically is Simon Adebisi. Adebisi is an African inmate who is essentially the most frighteningly evil character alive. This gang as a whole gets side help from the Irish at times and is always in conflict with the Latinos and Sicilians for drug distribution purposes. Being that Oz is mostly black, the Homeboys have the most soldiers of any gang inside.<br /><br />The Latinos and Sicilians, like the Homeboys have varying leadership due to violent deaths that occur throughout the show. The Sicilians pretty much have the most substantial say in how any illegal activity gets conducted in Oz. The Latinos make their presence known so that they can at least be coasting well if they are not in control. Unlike the Homeboys however, these gangs do not have as much internal battle for power and are usually more stable when it comes to drug usage. The Irish who are mentioned above are a smaller gang led by a manipulative and snakelike Ryan O'Reily. O'Reily always manages to stay in good graces with all the drug powers and manages to manipulate things in his way whenever he wants. They are in no illegal control but they are at least on good terms with all those who are.<br /><br />Amongst the whiter inmates, we have the Bikers and Aryans. The Bikers are merely a bunch of tattooed drug users who help the Aryans out most of the time. The Aryans are the most hated and hateful gang to most any viewer of Oz. They are led by Vern Schillinger who is amongst the most racist, sickest, and sadistic characters one will ever see. Both gangs control nothing illegal, they just merely let the darker skinned inmates see that they are a substantial threat to anyone who thinks all white inmates are soft. We also have the Others. The Others is a gang of outsider prisoners who are not necessarily a problem to any other inmate. In this group we see Tobias Beecher, a lawyer who accidentally killed a young girl whose life is forever altered by prison. We also see Augustus Hill, a black man bound to a wheelchair for killing a police officer who narrates the show and introduces the audience to every inmate. The character's crimes are shown as they are introduced and Augustus lets us know how long they will be in prison. Finally amongst gangs, there are the Christians and Gays. The Christians merely stay religious to keep from going mental and the Gays are a bunch of cross-dressers who are often raped by other inmates.<br /><br />This show gets in depth on a lot of issues dealing with the criminal justice system and is more explicit than any movie about prison. Since language is unedited, we here more racial epithets and cuss words than we would on any other TV show. Augustus Hill's commentary provides a good way for us to truly understand each and every issue involved with Oz. This show as good as it is is not at all for the light to medium hearted. It explicitly shows drug use and distribution by any means possible, prison rape, murders, fatal stabbings, and general gore than anything anyone else has seen. In my opinion it is the most influential and greatest show ever created but I can see at the same time why other people would be disturbed by this show. If you are at all interested by shows and movies about prison, Oz is a must see.",1,1,0,1,"Logistic Regression wrong, others correct",,
"First of all, let me say this film isn't for everyone. It has a very strange subject matter. A spinster living alone and living a boring life discovers a young man in a park just across the street from her townhouse. She notices him sitting out in the rain and invites him in to dry off & warm up. The man does not speak and the woman assumes he is deaf mute. Still, she is fascinated with him and sexually interested in him. He finds her odd and continues his silence although we find out later that he isn't mute at all and that he reports to his sister everything that is going on between him & the woman. I won't give away the rest of the plot. If you can find this film watch it. You cannot take your eyes off of it. What makes it so interesting? Well, it is totally unique. I've never seen anything like it and watching these two together is very uncomfortable. Especially when you find out what this bland, boring, obsessive spinster is capable of. You won't forget it soon.",1,1,0,1,"Logistic Regression wrong, others correct",,
"I agree that Mary Woronov (Murdoch's secretary) is one of the only good things about this film. She is my favorite actress ever, every role she plays is always done so well. Her character is sly, sarcastic, clever, light hearted, funny and cunning. She really pulls this role off well and you get a good feel for what her character is all about. <br /><br />The rest of the movie is pretty bad. The music is the most entertaining thing left. One of the characters has this really strange circular radio that she brings with her while she wears her tight zebra striped tank top.<br /><br />One thing that was a little intriguing about the story was the idea that someone hires these three college-aged kids to spruce up an old abandoned theater. He gives them the keys and says - go at it. That would be really fun and I wish someone would give me that chance! Imagine going into an old abandoned theater with two other people and you get to decide how to decorate it, and fix it up. You have total control over the whole building. That would be so fun! Unfortunately, the characters do not think of this as an exciting adventure, they think of it as a big chore. They walk around with long faces and fight with each other the whole time. It's kind of a bummer. But it's fun to think about the possibilities that these people aren't even excited about.<br /><br />The movie does a pretty good job at making you feel helpless or a little spooked out by the theater itself. However, the acting (besides Woronov.. and possibly Murdoch, the boss - just because makes a really good money hungry fake smiley business man who never has any luck) is really horrible and you just end up feeling unsatisfied. Plus, the random slapstick is a little tacky and kind of ruins the reality that the film tries to create.<br /><br />Watch this if you dig Mary Woronov, funky 80's Casio keyboard style electronic beats and if you think having a giant spooky abandoned theater to yourself is at all intriguing.",0,0,1,0,"Logistic Regression wrong, others correct",,
"This is a catastrophe movie set in London . Starting multiple hurricane,superstorm and tornadoes on Scotland are displaced towards East , downing England coast and later the South. After several hours of heavy rainful , the London barrier above Thames is short from running over, and it paves the way for disaster. Then a colossal tidal-wave travel relentless down East causing devastation and lives of millions of Londoners are in danger. At the center of the story is a climatologist(Tom Courtenay) a climatologist who tries to save London from the effects of giant wave , trying to convince the authorities that the town dike was unsafe, furthermore a marine engineer (Robert Carlyle) and his ex-wife Samantha(Jessalyn Gilsig) . They are trapped into the barrier and dropped to sea .Meantime the secret government agency HQ ruled by Nash(Joanne Whalley) under direct orders of deputy Minister(David Suchet) attempt to control many displaced and avoid more dead, approximately 200.000. They have a little time to save London from total catastrophe.<br /><br />Perfectly acceptable drama-disaster with alright acting. Magnificent Tom Courtenay as a climatologist who predicts catastrophe and excellent Robert Carlyle and Jessalyn Gilsig as ex-matrimony rekindling their love. The movie packs impressive flood scenes brought to life by the breathtaking computer generator special effects, better than the classic of the 70s , such as 'Earthquake, Inferno Towering' and similarly to 'Armaguedon and Day after tomorrow'. Although isn't a clear denounce, we know that the flood is caused by the greenhouse effect and global warming which originates the ozone hole. The motion picture is well directed by Tony Mitchell. I would recommend this movie to people who like disaster movies. Another adaptations about floods, are the following : 'Flood(1976)'directed by Earl Bellamy with Robert Culp and Barbara Hershey; 'Hard rain(1998)' directed by Mikael Salomon with Morgan Freeman and Christian Slater; ' Flood : a river's rampage(1979)' directed by Bruce Pittman with Richard Thomas",1,1,0,1,"Logistic Regression wrong, others correct",,
"It is a risky business to film such a lavish production of ""The Merchant of Venice"". It could be a stodgy, wooden, period piece, or it could be laughable for its excesses. This version is neither. While I am not completely sold by Al Pancino's very restrained Shylock, he does give a competent and honorable performance. Jeremy Iron's Antonio, is as always with his tortured-self roles, riveting. Some of the lesser roles seemed to be a little to much in the spirit of boisterous fun, ""a boy's own Venician adventure story"", but the central plot is efficiently and sympathetically moved forward through the film.<br /><br />It goes without saying, that the location shots, costumes, and interiors were breathtaking, almost to the point of distraction.<br /><br />One thing, on which I do not wish to comment on, is the anti-semetic content of the play. The film is as sympathetic to the predicament of the Jews as possible while still portraying Shylock as the instrument of his own self-destruction. It is a sad comment that four centuries later, the director of this film found it necessary to comment on his nuanced view before the premiere screening at the Toronto film fest.<br /><br />This is a beautiful film, and I look forward to several viewings.",1,1,0,1,"Logistic Regression wrong, others correct",,
"In an industry dominated by men and in lack of products with a female mark on it ; is it always nice to see a film shown from the woman's point of view. I would welcome more films from female writers and directors , and I think lots of other women with me.",1,1,0,1,"Logistic Regression wrong, others correct",,
"Soderbergh is a fabulous director, but nothing he could conjure could beat the amazing cast he gathered for this zenith of sequels. Clearly, he knew this from the get-go. The term ""star-vehicle"" has traditionally been used to refer to a movie that builds itself around one star. What this film does is net a whole herd of Hollywood hot shots and make them shine even brighter than before. The last scene says it all--all the stars sitting around with NOTHING happening and NOTHING being said. We just get to see them socialize as though it were a scene from a reality show where George Clooney, Catherine Zeta-Jones, Matt Damon, Brad Pitt, and Don Cheadle are just hanging out, being themselves. So the story's not important at all--at least, that's not where the films' greatest pleasures come from. If you want a clever heist movie, better stick with 11. But if star-gazing turns you on, this will make your day.",1,1,0,1,"Logistic Regression wrong, others correct",,
"An evil land baron is holding up water to a group of ranchers in order to try and take their properties for pennies on the dollar. Along comes Singin' Sandy Saunders (John Wayne), who saves the day for Gabby Hayes and his daughter by going undercover as the villain's newest gunman.<br /><br />The first of sixteen films Wayne made for Lone Star/ Monogram Pictures, this tries to cast him as a singing cowboy, only with an obviously lip-synced voice. The title card prominently features his character as ""Singin' Sandy"" leading one to believe that this was meant to be the first in a proposed series!<br /><br />Yes it's ridiculous, but also a lot of fun to see Wayne singing songs and shooting guns, especially when he does a little ditty before shooting it out with gunman Earl Dwire.<br /><br />Riders Of Destiny features a rare villainous role for for Al ""Fuzzy"" St. John, who clowns around as much with the bad guys as he did playing a heroic sidekick, riding alongside Buster Crabbe and Lash LaRue.",1,1,0,1,"Logistic Regression wrong, others correct",,
"Dreamy young Ashton Kutcher (as Tom Stansfield) wants a date with sexy blonde Tara Reid (as Lisa Taylor). Ms. Reid thinks Mr. Kutcher is gay. Kutcher works for Reid's father, an anal retentive Terence Stamp (as Jack Taylor). Kutcher agrees to ""housesit"" for the boss, believing it will get him closer to Reid. Mr. Stamp has a pet owl named ""O.J."", who becomes a toilet cokehead. <br /><br />This is a film to get your restricted to ""G-rated"" pre-teens ready for raunchier ""R-rated"" fare. It will help if they haven't seen the plot before, and especially like moronic potty humor. Remember, people get paid to act like this.<br /><br />** My Boss's Daughter (2003) David Zucker ~ Ashton Kutcher, Tara Reid, Terence Stamp",0,0,1,0,"Logistic Regression wrong, others correct",,
"Dead or Alive: Final, the movie that supposedly brings together the three films in the very loose Dead or Alive trilogy, and connected mostly by its stars, Riki Takeiuchi and Sho Aikawa and that each film has its share of bizarro-world fixtures and neuroses and heaps of violence, is admittedly the weakest of the lot. That none of the three films ends up being a disappointment is less a testament to the creativity of the material but to the pound-for-pound guts that director Takashi Miike takes with the surroundings and the material. Here he presents an overtly dystopian future, however low-key, where a homosexual mayor/dictator (Richard Chen) has the entire village drugged except for a group of rebels. There's also replicants- robots- in this year of 2346, one of them is Ryo (Aikawa), a robot of complete lethal skill but also with the capacity to love and learn and so forth. Then a cop, Takeshi (Takeiuchi) happens to be the mayor's top guard. But things start to unravel on both sides, Ryo teaming up with the rebels and Takeshi with his employer, though blood-soaked mishaps like a hostage trade-off gone bad, and with Takeshi finding out his wife and son are robots (not done in an Alien mood, mind you, just suddenly as if in a the power went out), and that he himself is one as well. And it all leads up to one last, inexplicable showdown between the two men.<br /><br />Strange that there's yet another film where Miike has peaks and valleys here, sometimes finding that middle ground of success where science fiction can have some meaning to it. But there really isn't anything to take from this story, except that the mayor/dictator is a dingbat with no back-story who gets his rocks off making sure his drug stops couples from getting pregnant and that everything remains under control. He also has along with him his love slave, I'd guess, in the hilarious non-speaking part of a saxophone player who also doubles sometimes as a human fixture when not plugging away the moody blues. Meanwhile, we get the conventional sides to Ryo and Takeshi's stories, and they're never uninteresting, just not totally convincing enough to hold interest. Of course Miike isn't above having some fun, like when Takeshi plops Michelle (Maria Chen) in to the water to get her to swim after a near-assassination attempt on the mayor, or in having the original rebel leader speaking English for no good reason at all. There's even a playful homage to old sci-fi cartoons at the start of the film. But there's nothing very compelling substance-wise, with the exception of Takeshi's minor turns at becoming ""good"" midway through the film (helping one couple get by with clearance to have a kid), and mostly Miike's strengths this time are purely stylistically and in the choice of locations and sets.<br /><br />It's like a grungy Japanese Alphaville where everything still has a contemporary feel through all of the special effects. And I really liked the yellow-green tint Miike used through the movie, as it impacted very well in outdoor scenes and added just enough grittiness in the indoor scenes. But as for peaks and valleys, one sees this ever more clearly- and the sci-fi movie channel level of visual effects, with maybe a few more dollars put into it- during the climax. This contains some of the funniest material in the most delirious, Freudian sensibility from the director, even if it has to get started by unbearable contrivance; the way that Ryo and Takeshi finally meet up is sort of random and just a means for the producers to try and cheaply tie together the past two films, when it wasn't needed. On the other hand, in terms of the sheer guilty entertainment value of a flick like Miike's where one sees something totally unexpected and very crudely sexual, it ranks right up there with the best scenes in Happiness of the Katakuris and Visitor Q. Overall, Dead or Alive: Final is a cheesy 90 minute effort that doesn't take itself TOO seriously, and is better off all the more for its wicked contrivances, militaristic decay and cultural hang-ups put on pulp-level display.",1,1,0,1,"Logistic Regression wrong, others correct",,
"I put this second version of ""The Man Who Knew Too Much"" to my Top 10 Hitchcock movies. Together with ""Frenzy"", it's probably the most argued film among the fans of Hitchcock. I consider it far better than, say, ""Rebecca"", which has gained unreasonably much appreciation.<br /><br />The film contains many ingenious scenes (most of them have been mentioned in other reviews), but that's something to be expected from Hitchcock. It takes almost half an hour until things really start to happen, but that time is used for preparing the following happenings, which are full of intriguing suspense.<br /><br />If you can ignore the clumsy rear projections, the only weakness of this film is the main villain, played by Bernard Miles, who is a rather flat and undeveloped character. Luckily, there is a creepy assassin in the form of Reggie Nalder. And Hank, the little boy, isn't as irritating as most kids in old movies.",1,1,0,1,"Logistic Regression wrong, others correct",,
"Having already seen the original ""Jack Frost"", I never thought that ""Jack Frost 2"" would be as absurd as it is. Boy was I wrong! Then again, A-PIX movies have a way of showing unbelievably bad material, even worse than you might expect. I believe this is the first A-PIX sequel, and it may be an indication of what to expect in the future: more A-PIX sequels.<br /><br />It's hard to watch this without laughing, especially during the later parts of the movie in which Jack Frost's offspring (which are essentially snowballs with eyes, arms, a mouth and sharp teeth) start killing people with the typical comedic dialogue and silly voices to go with it. They are shown both as puppets (with a stick underneath to move them) and as computer animation, which I have to say looks very cheesy. The computer animation surprised me, as the first ""Jack Frost"" had no such effects.<br /><br />I'd strongly recommend that you see the original ""Jack Frost"" before seeing this one (both of which it would be preferable to watch with a group of friends) to get the full amusement out of it, and because it would make more sense (""sense"" being a relative term).<br /><br />Now only if there was ""Uncle Sam 2""...",0,0,1,0,"Logistic Regression wrong, others correct",,
"I've expected a comedy about the NVA, but this is a parody. It shows the national army of Eastern Germany in a light that is not appropriate, and definitely not true.<br /><br />One can make a comedy about everything, as long as the underlying facts are not changed. Even a comedy about the German KZ is possible, as Roberto Benigni with ""LIFE IS BEAUTIFUL"" has shown.<br /><br />The movie NVA would be an ""OK"" comedy, because the jokes in it are overall OK. Nothing special - not hilarious, but enough to live with it.<br /><br />The point is, that the movie makes a farce and a parody about the NVA. A death machine that was ready to attack WESTERN EUROPE along with it's friend the RED ARMY. An institution that used everything to get the utmost from it's soldiers. An army that marched into the CSPR in 1968, and was ready to march also in POLAND to destroy the SOLIDARNOSC. You can't make a movie without showing the tiniest bit of evil, or would you make a parody about a KZ,Guantanamo or 9/11??? Showing Osama bin Laden as a funny screwed guy? 90 minutes about a funny Osama in a Afghan Taliban camp, where he makes jokes and is training his soldiers would be comparable to what this movie is doing about the NVA!",0,0,1,0,"Logistic Regression wrong, others correct",,
"I disagree 100% with the reviewer who disagreed 100% with the reviewer who gave this short movie an ""F"" grade. Cashing in heavily on political propaganda only obscures Joe Dante's lack of ability to pull another Howling out of his bag of tricks. The Masters of Horror series was a phenomenal collection of truly horrifying tales, save for this episode.<br /><br />Despite gaining acclaim from those who wish to promote it's political slant, ""Homecoming"" is the least effective episode of MOH season one. Unlike the rest of the series, Dante's entry is a parody of the genre, falling short of both horror and humor in it's ham-fisted delivery of a hackneyed political point.<br /><br />Dante can really only be blamed for pulling this stinker off the shelf, as it wasn't his creation. The zombie sub-genre is very popular this decade, and among the crop of predictable George Romero tributes and vacuous fantasies are a number of works designed to push political or (ir)religeous messages. Such works are not written by or intended for true horror fans. Maybe Dante really isn't a a Master of Horror, either. What has he been up to since The Howling, after all?<br /><br />If you want a lame anti-war zombie flick with a few pop culture references passed off as humor, Homecoming may be just your thing. If you are a horror fan looking for something Masterful, pick up... most any other episode of the series. My personal favorite was Dario Argento's ""Jenifer,"" based loosely on a classic comic short by the team of Bruce Jones and Berni Wrightson -- truly creepy.",0,0,1,0,"Logistic Regression wrong, others correct",,
Caught this recently after noticing James Earl Jones name on the title. It was better than I expected. Of course it's pretty old - made during the early/mid 70's but it actually is a decent drama. It runs a quick 90min or so and showcases good performances from James Earl Jones and Diahann Caroll. The plot is conventional in general but told through the perspective of a single black woman on welfare who has 6 children and trying to deal with all the problems that persist. This makes for an interesting view.....also in the fact that the script wasn't too sentimental or overdramatized - it's almost like looking at a slice of the past. All the 70's styles are out in abundance. The ending is kind of kooky though....probably would've done better without the theatrics.,1,1,0,1,"Logistic Regression wrong, others correct",,
"Simply delightful claymation feature from Nick Park and company spoofing such film-greats as ""King Kong"" and ""The Wolf Man"" has Wallace and Gromit as rabbit security finding it difficult to solve a major problem in their village..a giant were-rabbit is feasting lavishly on the vegetable crops of the citizens! What makes this even worse is that the great vegetable festival is about to commence and the citizens have all prepared dutifully to win the top of prize. What makes the situation even worse is Wallace is the reason behind the whole vegetable-eating rampage..he was testing out a new invention regarding taking his brain waves in an attempt to brain wash captured rabbits into disliking vegetable crops. What occurs is catastrophic as some sort of hybrid were-rabbit is created in the process..and it has more to do with Wallace than he could ever imagine. It'll be up to his loyal(..and startlingly intelligent)and fast-thinking dog Gromit to save the day.<br /><br />This is a clever and imaginative effort from the crew behind other Oscar winning claymation features starring Wallace and Gromit. Seeing good ole-fashioned claymation is refreshing considering the CGI boom that has featured rather lackluster fare here recently as the industry spits out more and more mediocre product. Here, we get a full feature with witty humor and some wild stunts featuring marvelous animation, not to mention gut-busting sight gags.",1,1,0,1,"Logistic Regression wrong, others correct",,
"""A Fare to Remember"" is a totally derivative, almost ridiculous movie, but has a warmth about it that makes it a very effective and upbeat holiday movie. It stars a pretty newcomer, Challen Kates, as a high-powered ad executive who, right before her wedding, has to rush from L.A. to Seattle to keep a client who has rejected every other presentation. She has transportation difficulties from the beginning and seemingly no money. This is the first dumb thing - were there no ATMs anywhere? She must make a fortune. At any rate, she meets a cab driver (Warner) who looks like a homeless man, and he drives her to her presentation and when she emerges with a huge box of beef jerky (the client's product), he's there to take her to the airport. All flights are canceled, so in order to get to L.A. for her wedding, she hires him to take her there.<br /><br />Along the way, they bond and learn from each other. It's a very sweet movie though there is absolutely nothing new in it - it combines ""Six Days and Seven Nights"" and a few other films. But the chemistry between the stars is good, they're likable, and the acting is good. Look for Jerry Springer as the head of the beef jerky company and a cameo by Karl Malden.<br /><br />This is a nice film to take in over the holiday season. It's on Lifetime.",1,1,0,1,"Logistic Regression wrong, others correct",,
"Yes! this movie was just bad in every way in things like cast,effects,boredom,excitement,and of course,being fantastic and we all know the four heroes in this one were a bit more colourful compared to the new ones but it still has to go,A fantastic bore like this really was just silly trash which i knew nobody would like when i saw it,i mean surely with that budget about 3 or 4 GOOD movies could have been made but no. I am just glad that the new version made this year totally showed everyone how the fantastic four should have been made with good story,great cast like Jessica Alba one of my favourite actresses otherwise it would have been totally forgotten but thankfully no. The new one was excellent when i saw it with my mates at the cinema but this old fantastic bore has gotta go.",0,0,1,0,"Logistic Regression wrong, others correct",,
"It is amazing what you can see if you wake at 2 am and turn on the telly. I didn't know they showed films like this. I immediately thought of Roger Corman, who reused locations for movies or used other films locations for his own movies.<br /><br />The makes of this film could just move the camera angles and add some time and they would have an XXX film.<br /><br />There was no story, just minimum dialog that led to stripping and sex. I bet there wasn't 100 words in the whole film, but there sure was a lot of very large busts and hot lesbian action. There was male/female action too, but it was only about 25% of the movie.<br /><br />Another interesting thing came to mind in watching this film that may interest those who are buying hi def DVDs. Sony refused to license Betamax to adult film makers and adult films came out on VHS. You can guess what happened to beta max as the adult film industry makes millions of videos. Sony has again refused to license Blu-ray to the adult film industry and they have just signed a deal with Toshiba. You can guess which high def system will disappear.",0,0,1,0,"Logistic Regression wrong, others correct",,
This movie turned out to be better than I had expected it to be. Some parts were pretty funny. It was nice to have a movie with a new plot.,1,1,0,1,"Logistic Regression wrong, others correct",,
