Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern
"Little Quentin seems to have mastered the art of having the cake and eating it.<br /><br />As usual, the pure sadistic display can be explained as a clever thought-provoking way of sending violence back into the audience's face.<br /><br />Sure, Mr Tarantino. Violence is Baaad. Sadism is Baaad. It is well worth wading in it to make that point. How very brilliant.<br /><br />The juvenile part of the audience may well not be clever enough to follow all the smart references to higher levels of consciousness though, but I'm confident they'll see the light one day.<br /><br />Thanks for making this little world of ours a little better. You deserve a medal.",0,1,1,1,All models wrong
"At the heart of almost every truly great crime thriller is a carefully considered, methodically planned-out high stakes super-crime, which 9 times out of 10 is committed by a bunch of likable, grey-scale morality underdogs for who life isn't fair, for whom getting back at the man is, well, something worth cheering for. First-time screenwriter James V. Simpson's script for Armored gets this half right. He made extra-double-sure that we've got nothing but sympathy for the recently orphaned, Iraq war veteran Ty Hackett (Stomp the Yard's Columbus Short), who's about to have his house taken away by an evil bank (brother, I've been there). And he gave Ty a good family friend in Mike (Matt Dillon) who is super nice and gets him a job at the armored car company that he works at with Baines (Lawrence Fishbourne) and some weird French dude (Jean Reno). These guys like to have fun and play pranks, but they are also serious armored car guys too, so that means they carry guns and are tough.<br /><br />After a short while, as one theoretically watches Armored, one might start to think as I did, that maybe - just maybe - this is going to be some kind of awesome, tongue-in-cheek, cornball heist movie with some on-the-nose characterizations that move the story along its natural course, cranking up the personal stakes of all involved in hopes of unveiling a really, really clever plan with lots of potential 'holy sh*t' moments. I mean, the music alone is textbook heist-movie - gritty, edgy beats working overtime as we're treated to close-ups of characters who say things like ""As a matter of fact I do,"" and ""Are you crazy??"" For 45 minutes or so, the movie had some serious genre-flick potential.<br /><br />Then things start to really stink. These dudes, these idiots, have no plan. There's no ""Ok, here's what we're gonna do..."" scene, no blueprints, no explosives, no black van or ski-masks (despite their 'test-run', as can be seen in a trailer). No, these guys are going to steal $42 million dollars from their own trucks (which are only being tracked by HOURLY contact over the radio, despite being equipped with some fancy, big-deal 'GPS technology'), and they aren't even going to sit down and discuss it. Hell, Mike only tells Ty about the plan the night before, which is completely ridiculous. But of course, Ty's got his house to think about so as long as Mike promises that 'no one will get hurt,' he's on board. Guess what, though. Somebody gets hurt. Why? Because, besides driving the trucks into an abandoned factory to hide the money, they have no plan. That was it. That was how far they thought things out. So, naturally, things start to unravel. These cats deserve everything they get for being so unprepared.<br /><br />This script, frankly, feels like it's like the product of some bad improv game: ""Armored Car, robbed by its own guards...GO!"" Despite some half-decent buildup that could have maybe taken the film in a few interesting directions, the story just completely falls apart, and pretty soon, NOTHING makes sense, or is even remotely plausible.<br /><br />When filmmakers don't have a cool ""hook"" for their heist, their characters seem stupid, and bungling. And when characters are stupid, and bungling, it's hard for an audience to invest in them, and their story. And when that happens, any suspense drains out the bottom of the movie, leaving a laughable, hollow husk.<br /><br />Skip it. 3/10",0,0,0,1,"Traditional models correct, DistilBERT wrong"
"Quentin in my opinion has written and directed only really one good movie and that was the multiple award winning Pulp Fiction. However, most of films, especially of recent, have been real REAL turkeys. People still rate him and his stuff today and i really can't see why. There are many other directors and writers nowadays producing far better entertainment in all aspects of their movies. From this point on, i shall not believe the hype that is a Tarantino movie.<br /><br />Inglorious was too long and worse still you felt it. The humor was, well, minimal and not that humorous. The violence was nothing new (minus the end scene). The dialog was sometimes very VERY drawn out.<br /><br />For some they'll love this movie; and for others they'll hate it.<br /><br />... and i thought the subject matter of Nazis was finally put to bed with the awesome 2004 German movie Der Untergang.",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"Chapter One: Once Upon a Time At A Table (1941)<br /><br />In which a German Nazi and a French Dairy Farmer talk at a table for 20 minutes; first in French, then in English.<br /><br />Chapter Two: Three Years Of Inglorious Basterds In Sixteen Minutes... Without Tables (Mostly)<br /><br />In which an American Lieutenant talks to his newly formed 8 man Jewish- American commando unit. There are no tables present. Cut to Adolf Hitler, three years later. He is angry at his men's inability to deal with the Basterds. Hitler does have a table. We return to the Basterds in a flashback. Again, distinct lack of table-based content. <br /><br />Chapter Three: German Night in Paris... At A Table... Talking<br /><br />In which a Jewish woman who escaped from under the table in Chapter One has somehow managed to become the proprietress of a cinema. The Jewish woman talks to an Actor at a table in a bar. Later, the Jewish woman, the Actor, Joseph Goebbels and a Translator talk at a table in a Restaurant. The Actor and Goebbels talk in German. The Translator translates the German into French. The Jewish woman replies in French. The Translator translates the French into German. Goebbels decides to hold a film premiere at the Jewish woman's cinema. The Actor and Goebbels leave. The Nazi (who talked with the Dairy Farmer at a table for twenty minutes back in Chapter One) arrives. He talks with the Jewish woman at the table. He leaves. The Jewish woman breaks down; overcome with emotion at having spent so long talking at a table. <br /><br />Chapter Four: Operation Table Talking<br /><br />In which Austin Powers sends a British Officer to join the Basterds and an Actress on a mission to talk in German at a table in a Tavern. After 21 minutes of talking at a table they all shoot each other. The actress survives but spends the next 5 minutes lying on a table talking.<br /><br />Chapter Five: Revenge of the Giant Table<br /><br />In which, The Basterds decide to continue the operation by talking in Italian and suicide bombing the cinema. The Nazi takes the Actress into a small room where they sit next to a table. A hoe that he found under the table in the Tavern fits her so he kills her. Then he takes two of the Basterds to a big room, where they sit and talk at a table. Meanwhile, the cinema burns down, Hitler is riddled with bullets and the two Basterds blow themselves up for no good reason at all.<br /><br />The End",0,1,0,0,"Naive Bayes wrong, stronger models correct"
"A VERY un-Tom and Jerry short. Jerry narrates this tale that revolves around Tom the cat falling in love and losing her to his rival, Butch. Tom is best friends with Jerry here which irked me a bit. The cartoon is also presented in Cinemascope. Overall I found this Tom and Jerry cartoon sad and depressing. The should have just put ""Puss gets the boot"" on the DVD instead and I would've been happy. This experimental animated short can be found on disc 2 of Warner Brother's 2-DVD Spotlight Collection set. It's the last one on the set and I'm hoping that Warner Brothers chooses to release a second Volume soon.<br /><br />My Grade: C-",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"<br /><br />Summary: Not worth the film<br /><br />As an avid Gone With the Wind fan, I was disappointed to watch the original movie and see that they had left out many important characters. Luckily, the film on its own was a wonderful piece. When the book Scarlett came out, I read it in hopes of following two of my favorite literary characters farther on their journey together. While the book lacks any true quality, it remains a good story, and, as long as I was able to separate it from the original, was and still is enjoyable. However, I consider the six hours I spent watching the ""Scarlett"" miniseries to be some of the worst-spent hours of my life. Discrediting any of the original character traits so well-formed in Margaret Mitchell's book, this series also turned the story of the sequel into one of rape, mistrust, murder, and misformed relationships that even the book Scarlett stayed away from. The casting for many of the characters refused to examine the traits that had been so well-formed in both the original novel and film, and even carried through in the second book, and again leaves out at least one incredibly crucial character. In the novel, Scarlett O'Hara Butler follows her estranged husband Rhett Butler to Charleston under the guise of visiting extended family. After coming to an ""arrangement"" with Rhett, she agrees to leave, and proceeds to reconnect with her O'Hara relatives in Savannah. Eventually, she accompanies her cousin Colum, a passionate leader of the Fenian Brotherhood, to Ireland, to further explore her family's ""roots that go deep,"" and is eventually named ""The O'Hara,"" the head of the family. While her duties as The O'Hara keep her engaged in her town of Ballyhara, Scarlett ventures out into the world of the English landowners, and instantly becomes a sought-after guest at many of their parties. She, having been scorned by Rhett time and time again, eventually agrees to marry Luke, the earl of Fenton, until Rhett comes along in a clichéd ""night-on-white-horse"" - type of a rescue. The ""Scarlett"" miniseries fails even to do this justice. Raped by her fiancé and scorned by her family, the series shows Scarlett thrown in jail after she is blamed for a murder her cousin committed.<br /><br />I heartily advise anyone considering spending their day watching this to rethink this decision.<br /><br />",0,1,0,0,"Naive Bayes wrong, stronger models correct"
"This movie was NOTHING like the book. I think the writer of the screenplay must have wanted the job of writing the sequel to Gone with the Wind and been turned down. This was his or her way of getting their ideas in anyway. The only similarity between this movie and the story it was portraying was the names of the principle characters and the location of the main action. None of the events that are shown in the movie happened that way in the book. For a Gone with the Wind fan (of both the book and the movie) this was deeply disappointing. If you loved the book Scarlett, don't watch this movie hoping to see it played out on the screen. They only share the title in common.",0,1,0,0,"Naive Bayes wrong, stronger models correct"
"...But not this one! I always wanted to know ""what happened"" next. We will never know for sure what happened because GWTW was Margaret's baby. I am a lifelong fan of Gone With the Wind and I could not have been more repulsed by the movie. I did compare ""Scarlett"" to the original GWTW because any film worth following GWTW needed to be on the same quality level as the first. Rhett was cast beautifully, although NO ONE will ever compare to Mr. Gable. I am also a strict Vivien Leigh fan!! She WAS Scarlett. She fit the bill. Not another actress in this lifetime or another will ever fit the same shoes but with ""Scarlett"" the job could have been done better. Not enough thought went into finding the proper Scarlett, that was evident.<br /><br />Overall, something to look to but if you want to know the what happened to Scarlett and Rhett, I suggest writing it yourself or finding fan fiction. This movie is not worth the time.",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"As an avid Gone With the Wind fan, I was disappointed to watch the original movie and see that they had left out many important characters. Luckily, the film on its own was a wonderful piece. When the book Scarlett came out, I read it in hopes of following two of my favorite literary characters farther on their journey together. While the book lacks any true quality, it remains a good story, and, as long as I was able to separate it from the original, was and still is enjoyable. However, I consider the six hours I spent watching the ""Scarlett"" miniseries to be some of the worst-spent hours of my life. Discrediting any of the original character traits so well-formed in Margaret Mitchell's book, this series also turned the story of the sequel into one of rape, mistrust, murder, and misformed relationships that even the book Scarlett stayed away from. The casting for many of the characters refused to examine the traits that had been so well-formed in both the original novel and film, and even carried through in the second book, and again leaves out at least one incredibly crucial character. In the novel, Scarlett O'Hara Butler follows her estranged husband Rhett Butler to Charleston under the guise of visiting extended family. After coming to an ""arrangement"" with Rhett, she agrees to leave, and proceeds to reconnect with her O'Hara relatives in Savannah. Eventually, she accompanies her cousin Colum, a passionate leader of the Fenian Brotherhood, to Ireland, to further explore her family's ""roots that go deep,"" and is eventually named ""The O'Hara,"" the head of the family. While her duties as The O'Hara keep her engaged in her town of Ballyhara, Scarlett ventures out into the world of the English landowners, and instantly becomes a sought-after guest at many of their parties. She, having been scorned by Rhett time and time again, eventually agrees to marry Luke, the earl of Fenton, until Rhett comes along in a clichéd ""night-on-white-horse"" - type of a rescue. The ""Scarlett"" miniseries fails even to do this justice. Raped by her fiancé and scorned by her family, the series shows Scarlett thrown in jail after she is blamed for a murder her cousin committed.<br /><br />I heartily advise anyone considering spending their day watching this to rethink this decision.",0,1,0,1,Only Logistic Regression correct
"I've read the book 'Scarlett' and was expecting a good movie the first time I saw it. I'm afraid to say that I was disappointed. The movie did not follow the book and made many changes that I did not like. <br /><br />One of the changes that I did not like the way that Lord Fenton was portrayed. It made no sense to make him out to be a bad man. The way that things ended between Lord Fenton and Scarlett was a lot different and their whole relationship was too intimate. <br /><br />There was also a lot less confrontation between Scarlett and Rhett in the movie than was originally written in the book. The movie sent the two in two completely opposite ways and they did not seem to cross paths often enough to make it seem like there still could be love between the two. A fine movie, but I believe that it certainly could've been better than it was, had it more true to Alexandra Rippley's book.",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"As everyone knows, nobody can play Scarlett O'Hara like Vivien Leigh, and nobody can play Rhett Butler like Clark Gable. All others pale in comparison, and Timothy Dalton and Joanne Whalley are no exceptions. One thing that I really couldn't get past was that Joanne has BROWN eyes. The green eyes were the most enhancing feature of Scarlett's good looks, and in this sequel she has been stripped of those.<br /><br />The movie, as well as the book, had several lulls in it. The new characters weren't all that memorable, and I found myself forgetting who was who. I felt as though her going to Ireland did absolutely nothing whatsoever. It could be that I'm only 11, but I saw no change in her attitude until the last say, 10 minutes when Rhett told her she had grown up. If Rhett hadn't told her that, I would have never guessed that there was any change in her attitude. She really loved Cat, her baby. She likes this child best because she had it with Rhett, her only loved husband. Still, if you've read Gone With The Wind, you would see that children make no difference in Scarlett's world. <br /><br />Quite frankly, it seemed to me like there was way too much going on without Rhett. All anybody cares about is whether or not Rhett and Scarlett get back together, and Scarlett took way too long to get to that. It is virtually nothing compared to Gone With The Wind, but then again what isn't? If you have read the novel, you will like that better than the movie.<br /><br />I would watch it, just because it is the sequel to Gone With The Wind, regardless of whether or not it's worthwhile. It may not satisfy you entirely, but it will get you some of the way there.",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"This is not a good movie at all. I cannot believe that after fifty years, this movie gets the National Award when there have been such gems from Marathi cinema that have been so systematically ignored. This is a very overrated movie that got very, very lucky. It was given the National Award, harvested the popular opinion and now is going to represent India before the international audience. Anyone with even a marginal understanding of good, quality cinema will know very well that this will not even be nominated at the Oscars.<br /><br />I cannot understand where to start. There are just so many things that are wrong and lacking in this movie that it amazing it even got considered for the National Award. That this movie is awarded as the best movie to come out this year goes to show the biased judgment of people who hold the reins of Indian cinema and the diminutive understanding of the people who blindly appreciate this movie.<br /><br />The topic chosen is great. It is important that such movies be made  but only by people who are able to handle them. Sandeep Sawant does not measure up to the task  not even close. His direction is jumpy, confused. There is no clear thought process. He tries, but is not able to explore the depth of the characters, especially the grandfather. He is not able to show the initial horror, anxiety and then hopeless detachment and yet the insurmountable courage of the grandfather. He wastes our time in the hospital when we should have been shown the time pair spend together. He is trying to cram in everything without any priorities. He does not understand his subject properly and that really counts against him.<br /><br />However, the cast does not help Sawant either. Worst job  Amruta Shubash. She is a terrible actor and a terrible choice for this or any sensible acting job. How did she get 'Tee Phulrani'? Extremely lucky and/or extremely influential and/or extremely pitiful casting. Having said that, she goes out of her way to do an even terrible job in this movie. Her act of the MSW should have gone to the more responsible actor  Sonali Kulkarni. Amruta Subhash did not understand it. MSW's work under constant emotional stress and yet it is important for them to project a calm, strong exterior, as this is reassuring to the patients. Amruta Subhash's Asawari seems even more scared and in need of support than the people she is working for.<br /><br />Second worst  Arun Nalawade. I have never seen a more wooden face in Marathi film industry (it is abound and everywhere in today's Hindi cinema though). He is the producer and so he chose himself; no second thought, no consideration. Any good actor would have jumped to play this role even if he had to pay the producer's to do it, but Arun Nalawade would not let anyone else do it. Over ambitious and obtuse, he contributes to bring down the movie more than everyone else combined. His acting lacks research and even the basic acting skills. My choice for this role would be Vikram Gokhale.<br /><br />The music is uninspired. The movie is technically lacking. It could well have been an FTII project job.<br /><br />On the up side; brilliant performance by Ashwin Chitale. It is amazing that such a young boy could give such a respectable performance. He put many of today's actors to shame. Unintentionally maybe, but he brought his own innocence to his character and that made it a memorable performance. Also, Sandeep Kulkarni really gave a very believable performance. Really put in all his efforts and it shows. The script too is well written.<br /><br />'Shoestring budget' cannot be a valid argument to praise this movie. Lack of funds dogs all of the Marathi movies. Cricket and Hindi movies sponge all the money and the rest are left to fight for the scraps. It is a sorry state of affairs but yet not reason enough to praise any immature movie that comes out. 'Doghi' was brilliant movie and it too was made on a shoestring budget. 'Doghi' also lacked technically but it was well researched and well made. It was abound in details and supported by wonderful performances by everyone and that made it rich cinema. Why did it not receive the accolades it so very deserved?  only proves my point of biased judgment.<br /><br />Lack of research and not of funds, is what makes 'Shwaas' such a bad movie.",0,1,0,0,"Naive Bayes wrong, stronger models correct"
"Oh, my. Poor Jane must have done the old rolling-over-in-the-grave thing. Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad. Whatever else you do with Austen, the dialog should sparkle (even in this, perhaps her most serious work), and melodrama should be strictly out of bounds. Alas, not the case with this production. By the time you get to Anne's ""Frederick, Frederick, Frederick,"" you'll either be laughing or crying. Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one. If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.",0,1,0,1,Only Logistic Regression correct
"Director/screenwriter Allan Burns seems to have patched two different scripts together before coming up with this minor outing: a comedy about infidelity and a melodrama about loss and sabotage. It results in a wincingly unfunny film. Christine Lahti plays a crass, cynical TV news reporter who makes friends with aerobics instructor Mary Tyler Moore and is soon having dinner with Moore and her family--only to discover Mary's husband (Ted Danson) is Lahti's secret affair! Burns has a strange, stop-and-start rhythm to his dialogue which is neither realistic nor effective (just increasingly annoying, because nothing important ever seems to get said). Rail-thin Moore, looking alarmingly frail in her leotard, has a radiant smile but doesn't convince as Danson's wife, and Danson gets stuck with a paltry, thankless role (he's just there to be a cad). The movie attempts to cover all the bases in a classic case of overreaching (woman's role in the workplace, the TV news-biz, the cheating family man, the working wife and mother who wants more, a woman's need for female friendships, et al), but nothing substantial comes out of these ideas since Burns only half-heartedly examines the issues. As a writer, he is surprisingly free of punchlines, but is devoid of a purpose as well, and the heavy plotting just gets all fouled up. *1/2 from ****",0,1,0,0,"Naive Bayes wrong, stronger models correct"
"This is the first recorded effort to put sound with a movie, and a the oldest that, obviously, is still in existence. This historic piece of film is the opening segment in the ""More Treasures Of The Natural Archives"" DVD.<br /><br />It's only a 15-second clip of a man playing a violin in front of a huge recording cylinder. Next to him are two men dancing. Near the end, another man walks on the stage. William Dickson, the director of this experiment, is the violin player. This ""movie"" had several titles over the years but the sound experiment was not really a success. It took over 30 years from this point to the synchronize sight and sound to the point where something could be issued to the public for entertainment. However, this was a start, no matter how primitive it came off. <br /><br />For more of the technical information and history of this film process, see the other review here by ""Boba Fett1138.""",0,1,0,1,Only Logistic Regression correct
"By-the-numbers, Oscar-hungry biopic about the late, great singer Ray Charles. There is one -- exactly one -- great scene in *Ray*. It occurs during a flashback to Charles' youth, after the boy become completely blind. Running into the sharecropper house which he shares with his mother, he trips over a chair and sprawls on the floor. He cries out for his mother; she, in keeping with her philosophy that a person should ""stand on their own two feet"", observes silently and pensively from the kitchen, waiting to see if the boy can fall back on his own resources. The boy proves to be up to the challenge, using his ears and memory to locate a kettle on a stove, a nearby fire-pit, the grass blowing in the wind outside of a window, the scuttling of a cricket across the plank-board floor.<br /><br />The movie pauses, here; it expands; it breathes -- even if for only 40 seconds. The scene is a much-needed respite from Taylor Hackford's otherwise noisy film. By ""noisy"" I'm not referring to the music, which is, of course, excellent. I AM referring to the sound effects (big BOOMS! preceding yet another flashback) and the inane dialog (""I'm speaking to you as a FRIEND, Ray,"" etc.). On the visual side, Hackford is equally and pointlessly flashy: sepia-colored filters over the camera lenses during the flashbacks; whirling-dervish 360s from the camera-crane, etc. etc. All the modern amenities. What a horrible cinematic style is displayed in *Ray*! -- a style all-too-common in wanna-be ""important"" movies from the past decade or so (Scorsese's *Aviator* is stylistically very similar to this movie). These gimmicks are employed to obfuscate the cliché-ridden screenplay. Some of us won't be fooled.<br /><br />Some of us also are not quite prepared to accept Jamie Foxx's performance as anything more than superb mimicry. Granted, Foxx eerily resembles Ray Charles: he walks like Charles, talks like Charles, and even twitches like Charles. Foxx's imitation of the singer during live performance is technically perfect. I'm not begrudging Mr. Foxx his Oscar; he deserved it. (It was a pretty weak field this year, anyway.) But one wonders if Foxx really UNDERSTANDS Charles. The actor does achieve one great moment when he insists on trying out the smack that his band-mates are shooting up: he registers, if only for a brief moment, a disgust at the unfairness of being blind and a life of darkness. The movie seems to want to dramatize the struggle within Charles between the bright salvation of music and the oblivion of heroin, with his blindness as the battleground between those two compulsions. But the damn movie just won't take the time: it bounces along from triumph to triumph, never really pausing for any insight into the man. One has to STRETCH to find the dramatic tension; one must supply the drama FOR the movie. One must, in other words, imagine a better movie than this one.<br /><br />In its rush toward a glorious conclusion, *Ray* introduces, then dodges, several excellent ideas for a movie: his early days on the ""Chitlin Circuit""; his bold musical innovations for the Atlantic label; the problem of his addiction to heroin; the inevitable artistic compromises attendant upon overwhelming success; the man's importance to the Civil Rights struggle (touched on in the movie for, oh, about 3 minutes of screen-time), and much more. The filmmakers are too lazy to focus on any one of these elements. Two-and-a-half hours of watching a man overcome one adversity after another may make us feel good, but such a movie is not necessarily a grand work of art. This sort of approach certainly provides no deeper insight into the film's subject -- and shouldn't insight be the real goal of a movie like this? If I had wanted a laundry-list of Ray Charles' accomplishments, I'd have simply Googled him.<br /><br />3 stars out of 10 -- the extra 2 stars strictly for the music.",0,1,0,1,Only Logistic Regression correct
"I was supremely disappointed with this one. Having just read the wonderful Oscar Wilde story, I had hoped for at least a little of the magic to translate onto the screen. Well, there was none. This version played like a condensed, dumbed down Reader's Digest movie. Not only did it feel rushed, it was cheapened and needlessly re written. Major characters and plot points were either changed or completely removed. I appreciate the difficulties in trying to bring a novel to the screen, especially on what may very well have been a limited (TV) budget, but there is no excuse for mangling a great story in this way. I thoroughly recommend reading Wilde's tale of the depravity that exists under even the most beautiful exteriors. But I cannot advise anyone to rent this travesty.",0,0,1,0,"Logistic Regression wrong, others correct"
"It only took one viewing of this dog, for me to say ""Never again!"" It's so profoundly unmemorable that I had to read other people's reactions to it before I could remember anything beyond (1) it was awful, (2) Connery should have quit while he was ahead, and (3) the film included a total gross-out bit involving faking a retinal scan through the most gruesome (not to mention horribly inefficient) means possible.<br /><br />Actually, I've never understood why anybody would prefer even the best of Connery's Bond films over even the worst Moore or Dalton outings. Or Lazenby, Brosnan, or even David Niven, for that matter. I personally found Octopussy and Moonraker, among other ""canonical"" Bond films, to be far more entertaining than this, and probably for the very same reasons why others deprecate the Moore Bond films, namely their wry humor, and their willingness to surrender to the preposterousness of the whole basic Bond milieu.",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"Though some would prefer to comment on the value of Bond movies in the connection of learning frequency, and while most of the jargon that tends to limit Bond to a meager 007 following has been exploited beyond all reasonable contention, there are several redeeming plausibilities that extend the credibility of Sean Connery in this doubling role that had seen its counterpart adaptation in part of a previous performance by Jessica Tandy in Driving Miss Daisy. While Connery had been less visible in the latter, his woman-seeker qualities had maybe not cast a frown on the face of embittered spectators as it would in this latest rendition which, to most involved, approached the 007 theme with kind resentment, albeit while the general flavor had been altered. Great for those who interest others while faking to be who you're not!",0,1,0,1,Only Logistic Regression correct
"Not as bad as some people say...This is a unofficial Bond movie and a remake of ""Thunderball"", written by Kevin McClory (co- producer in ""Thunderball""). Well, the cast is very very interesting, Maria Brandauer is a great Bond- villain, Kim Basinger and Barbara Carrera are just like the ""original"" Bond- girls, plus Rowan Atkinson and a truly great Edward Fox, who looks really refreshing in the ""M"" role. In fact, the whole movie is refreshing and gives some new impulses. Sean Connery does it once more confident and charming, except that he looks a little bit too old. But alright, he is the original Bond and it was great to see him once more in this role. The locations are also typical- Bahamas, France, etc. The only thing that really fails is the music score, the song ""Never say never again"" is O.K., but the theme song is just missing. All in one, a nice try to make a difference from the comic and silly Roger Moore movies like ""Moonraker"". Only if there was another story, ""Thunderball"" was a excellent movie and really did not needed a remake",0,1,1,1,All models wrong
"Even though this film was nothing special as such, I am drawn to comment on at least one factor that ruled in its favour - that of the lead female performer in the film, Dyan Cannon. In spite of the film's ridiculous storyline and what she goes through here, hers was the best acting job in the film, making the unbelievable seem more plausible. Her raucous scene with the gay photographer David Hemmings has to be seen to be believed. Good work, Dyan.",0,0,1,1,Only Naive Bayes correct
"Bruce Willis, as usual, does an excellent job.<br /><br />[warning: may be considered a ""spoiler""]<br /><br />While my friend thought it was good, I kept glancing at my watch during the entire movie wondering when it would end. After seeing such great flicks as ""The Patriot"" and ""Chicken Run"" I was really disappointed in Disney's ""The Kid.""<br /><br />Willis plays a middle-aged man with a harsh and realistic attitude on putting a positive spin on people's images (he's an Image Consultant). An unknown kid shows up. Yes, it's him but younger, and even Lily Tomlin can see him. At this point I'm reminded of a cross between a poor ""Quantum Leap"" episode and a bad time traveling flick.<br /><br />Kid and Willis go through trying to figure out why he's in that time period. They figure it out. They meet Willis when he's older. Nevermind that it never goes into detail how old Willis teleports them between time periods and gets them together to begin with, how he got that knowledge to begin with, how he came to the realization that he needed to do this, and so on.<br /><br />Basically, it's a very tired, unoriginal, uninspiring plot that has some great actors in it. The good news is that ""the Kid"" actor is nowhere near as annoying as he's presented in the trailers on television.",0,1,0,1,Only Logistic Regression correct
"For some reason my father-in-law gave me a copy of this tape. I think because my great uncle, Buddy Baer, was the giant in this movie and my father-in-law thought I'd like to see it. I had, years before as a child, and didn't like it then, either.<br /><br />My son, then two, watched it and was hooked. Every waking moment in front of the TV, this horrid video played. I went to work with the inane songs stuck in my head. The two ""leads"" were worse than a junior high stage review. The dancers looked like rejects from an Ed Wood horror flick and Abbot and Costello phoned their parts in. Thankfully, I was able to distract my son long enough to lose this videotape. Frankly, I think it was the tape from ""The Ring"".<br /><br />To correct another reviewer, Buddy Baer is the UNCLE of Jethro (Max Baer, Jr) not his father. 0 out of 10.",0,0,1,0,"Logistic Regression wrong, others correct"
"I'm not really much of an Abbott & Costello fan (although I do enjoy ""Who's On First"") and, to be honest, there wasn't much in this movie that would inspire me to watch any more of their work. It wasn't really bad. It had some mildly amusing scenes, and actually a very convincing giant played by Buddy Baer, but somehow, given the fame of the duo and the esteem in which they're generally held, I have to say I was expecting more. As the story goes, the pair stumble into a babysitting job, and during the reading of Jack & The Beanstalk as a bedtime story (with the kid reading it to Costello), Costello's Jack falls asleep and dreams himself into the story. There's a ""Wizard Of Oz"" kind of feel to the story, in that the characters in the dream are all the equivalents of real-life acquaintances of Jack, and the movie opens in black & white and shifts to colour during the dream sequence. The fight scenes between Jack and the giant and the dance scene between Jack and Polly (Dorothy Ford) are among the amusing parts of the movie. Polly, of course, also leads to one of the questions of the movie - what happened to her? Jack and gang apparently left her behind in the giant's castle! I know - it was just a dream, so who cares. Still - I wondered. There were also a couple of cute song and dance routines. My 4 year old giggled a bit during this, so she was able to appreciate some of the humour. I found it to be an acceptable timewaster, but certainly not anything that would convince you of Abbott and Costello as comic geniuses. 4/10",0,0,1,1,Only Naive Bayes correct
"In need of work, straight man Bud Abbott (as Jack) and comic partner Lou Costello (as Dinkel) get the latter a job babysitting self-described ""problem child"" David Stollery (as Donald). Young Stollery winds up reading Mr. Costello's favorite novel (see if you can guess the title), which puts Costello to sleep, dreaming he and Mr. Abbott are reliving the story of ""Jack and the Beanstalk"" (you guessed it).<br /><br />The sepia-tone switches to color for the bulk of the production. Apparently, this was an attempt at something different for the duo, a colorful children's fantasy. It fails, but this is where you get to see Abbott & Costello in color, silent film superstar William Farnum (as the King) make his last performance a bit part, boxer Max Baer's brother Buddy, and Stollery before Disney's ""Spin and Marty"".<br /><br />** Jack and the Beanstalk (4/4/52) Jean Yarbrough ~ Lou Costello, Bud Abbott, Buddy Baer, William Farnum",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"Most of the comments on this movie are positive so I thought I would try and redress the balance. I came out of this movie wondering what was going on. I now know and still consider it to be a poor movie. I intially discounted a dream sequence as that seemed too obvious. I was glad that I had a free ticket to the movie or I would have asked for my money back. Movie reviewers and critics love this movie, which only confirms to me that most of them would rather sound intelligent than review how an audience may enjoy a film. The 8+ rating this movie has is so misleading. In 20 years time this film will not compare to true greats such as The Godfather. The film does have fine performances from both the leads but that isn't enough to save the film. (nor are the lesbian scenes!)",0,0,1,0,"Logistic Regression wrong, others correct"
"A colleague from work told me to watch this movie, since he considered this movie to be one of the best movies ever. So I did watch it. First I have to admit that I dislike mainstream movies and prefer to watch movies with a real meaning.<br /><br />And this is the point, why I dislike this movie. It doesn't have any meaning. It's just a combination of funny, stupid, boring, entertaining, absurd and thrilling pieces.<br /><br />At first I thought that this movie could be a real mystery thriller (as the German packaging read), but the movie was too mysterious for me.<br /><br />David Lynch may be able to make a combination of the most different images, but the composition tastes to me as awfull as a combination of milk with beer. Both for themselves are pretty good, but together?",0,1,1,0,"Traditional models wrong, DistilBERT correct"
"Oh boy ! It was just a dream ! What a great idea ! Mr Lynch is very lucky most people try to tell classical stories. This way he can play with his little plantings and his even more little payoffs. Check out Polanski's ""The lodger"" for far more intelligent mix of fantasy and reality.",0,1,1,1,All models wrong
"ok we have a film that some are calling one of the best movies ever..but i'm sitting here thinking hell the f!, the storys sux{ which there is no story], the diolouge is quite plain, artisticly nothing great!, and the acting is nothing real out standing, so if you want to pretend to be arty say you like it, but if you have a real view say you don't like it or if you did explain why!",0,0,1,0,"Logistic Regression wrong, others correct"
